objekt,omfång,tid,institution,typavhandlingar,anmärkning
Föreningen Folkets Hus i Ösmo,fragment,1923,ARAB,"stadgar, blanketter","[samling] Folkets Hus och Parker, Stockholm vol. 2"
Föreningen Föreningshuset i Österåker,fragment,"1909, 1934",ARAB,"stadgar, andelsbevis","[samling] Folkets Hus och Parker, Stockholm vol. 2 Jfr Åkersbergs Byggnadsförening"
Örby Folkets Hus Förening u p a,fragment,1930-31,ARAB,"stadgar, upprop, småtryck","ARAB [samling] Folkets Hus och Park, Stockholm vol. 2"
Byggnadsföreningen Folkets Hus i Aplared u p a,fragment,1936,ARAB,"stadgar, andelsbevis",ARAB FH o FP-samling: övriga landet vol. 4
Arkelstorps Folkets husförening,A. fragment,A.1911 B. 1907-,A. ARAB B. I lokalen,"A. affisch B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer",A. ARAB FH och FP samling: övriga landet vol. 4
Arnäs Byggnadsförening i Arnäsvall u p a,fragment,1943,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 4
Arnemarks Folkets Hus Byggnadsförening u p a,fragment,1937,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 4
Föreningen Folkets Hus i Askum,fragment,"1906, 1913, 1937",ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 4
Föreningen Folkets Hus i Axberg u p a,B. fragment,A. 1933-1999 B. 1921,A. I lokalen och hos styrelseledamöter B. ARAB,"A. 1982-1999, äldre material osorterat 1933-1982 protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar. B. stadgar",ARAB: FHP-samling: övriga orter; vol 4: fragment: stadgar 1921 Se även NAD: Ervalla sportklubb och SSU Axberg
Andelsföreningen Folkets Hus å Aspö,fragment,A. 1936 B. 1935,ARAB,A. stadgar  B. klipp,A. ARAB FH och FP samling: övriga landet vol. 4 B. ARAB organisationsklipp vol 6 Sydöstra Sveriges Dagblad 28 okt 1935
"Bjurådalens Folkets husförening u p a i Bjurå, Råneå socken",fragment,1944,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 4
"Byggnadsföreningen Bjärtrå u p a Fjärdvik, Bjärtrå",fragment,1928-29,ARAB,"stadgar, ritningar",ARAB FH och FP samling: övriga landet vol. 4
Björneborgs Folkets Hus och Park,A. fragment,A. 1962,A. ARAB b. I lokalen,"A. program B. protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer",A. ARAB FH och FP samling: övriga landet vol. 4 B. FHP-enkät
Björkådalens Byggnadsförening u p a (Björksjöns Folkets Hus),A. fragment,A. 1927 B. 1927-,A. ARAB B. I lokalen  C. Sollefteå kommun,"A. stadgar, andelsbevis B. protokoll, räkenskaper C. ritningar",A. ARAB FH och FP samling: övriga landet vol. 4
Föreningen Folkets Hus i Blankaholm u p a [Solstadström],A. fragment,A. 1919,A. ARAB B. I lokalen,"A. stadgar B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar",A. ARAB FH och FP samling: övriga landet vol. 4 B. FHP-enkät
Föreningen Folkets Park u p a Blopmstermåla,fragment,"1947-1951, 1956",ARAB,"medlemsbok, stadgar, verksamhetsberättelser",ARAB FH och FP samling: övriga landet vol. 4
Föreningen Folkets Hus i Blomstermåla,A. fragment,"A. 1912(?), 1915",A. ARAB B. Folkrörelsearkivet i Mellersta Kalmar Län,"A. affischer B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier, affischer, gästböcker",A. ARAB FH och FP samling: övriga landet vol. 4 B. FHP-enkät
Byggnadsföreningen Kamraterna u p a i Bollsta,A. fragment,"A. 1906, 1922,  1927-51, 1956-59",A. ARAB B. Arkivinstitution i Johannisberg:,"A. stadgar, verksamhetsberättelser, klipp B. protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier",A. ARAB FH och FP samling: övriga landet vol. 4
Bredsels Folkets Husförening u p a,fragment,1939,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 4
Föreningen Folkets Hus Brandstorp,fragment,"1934, 1962",ARAB,"stadgar, andelsbevis, klipp",
Fastighetsföreningen Folkets u p a Borås,fragment,1908-63,ARAB,"stadgar, versksamhetsberättelser, program, fotografier, affischer, småtryck m m",ARAB FH och FP samling: övriga landet vol. 4
Brodalens Byggnadsförening,fragment,1929,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 4
Bro och Lossa Folkets husförening,fragment,1915,ARAB,affisch,ARAB FH och FP samling: övriga landet vol. 5
"Andelsföreningen Folkets Hus, Brunngy u p a",fragment,1934,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Bro Arbetares Byggnadsförening u p a (Uppsala län),fragment,1934,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Brunskogs Folkets Hus,fragment,1905?,ARAB,vykort,ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Hus i Bunkeflo socken u p a,fragment,1925,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Dagsbergs Folkets husförening u p a,fragment,1938,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Folkets husföreningen Dal,fragment,1911?,ARAB,insamlingslista,ARAB FH och FP samling: övriga landet vol. 5
Byggnadsföreningen Solidar i Toarp Dalsjöfors Folkets Park,A. fragment B. okänt,"A. 1928-30, 1944 B. 1960-tal-",A. ARAB B. I lokalen Folkets Park i Dalsjöfors,"A. biljetter, program, teckningslista  B. protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer","ARAB FH och FP samling: övriga landet vol. 5 och ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9 FHP-enkät"
Föreningen Folkets Hus u p a i Degerhamn,A. fragment  B. okänt,"A. 1917,  1931-1950  B. 1917--",A. ARAB  B. I lokalen Fokets Hus i Degerhamn,"A. stadgar, andelsbevis, verksamhetsberättelser, biljetter B. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar",A. ARAB FH och FP samling: övriga landet vol. 5 B. FHP-enkät
Degeröns Folkets Hus,fragment,1929,ARAB,"klipp, ritningar",ARAB FH och FP samling: övriga landet vol. 5
,,,,,
Dörby Arbetares Byggnadsförening u p a,fragment,1939,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Eds Byggnadsförening u p a,fragment,"1945, 1952",ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
"Eds-Bruks Byggnadsförening i Åsen, Eds-Bruk",fragment,1915,ARAB,affisch,ARAB FH och FP samling: övriga landet vol. 5
Edsele Ekonomiska Byggnadsförening u p a,fragment,1914,ARAB,skrivelser,ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Hus u p a i Emmaboda,A. fragment  B. okänt,"A. 1907,  1940, 1947, 1951  B. 1907-",A. ARAB  B. eget arkiv i Folkets Hus Emmaboda,"A. stadgar, klipp B. protokoll, verksamhetsberättelser, korrespondens, räkenskaper, inventarieförteckningar, ritningar, fotografier, affischer",A. ARAB FH och FP samling: övriga landet vol. 5 B. FHP-enkät
Byggnadsföreningen Folkets Hus u p a Erkheikki,fragment,1948,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Byggnadsföreningen Folkets Hus u p a (Fjällbacka),fragment,"1905, 1935, 1947",ARAB,"skrivelser, stadgar",ARAB FH och FP samling: övriga landet vol. 5
Follingbo Folkets husförening u p a,fragment,1936,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Fjärestad och Kvistofta Folkets husförening u p a,fragment,1938,ARAB,"stadgar, andelsbevis",ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Hus Fridene u p a,fragment,1935-36,ARAB,"insamlingslista, andelsbevis",ARAB FH och FP samling: övriga landet vol. 5
,,,,,
Byggnadsföreningen Allhem i Färgelanda u p a,fragment,1936,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Hus i Förkärla u p a,fragment,1936,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
"Folkets Hus Stora Blåsjön, Frostviken",fragment,1954,ARAB,klipp,ARAB FH och FP samling: övriga landet vol. 5
Fräntorps Folkets husförening,fragment,1945,ARAB,program,ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Hus i Fröskog u p a,fragment,1932,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Fröjereds Byggnadsförening u p a Fridene,fragment,1939,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Fastighetsföreningen Folkets Hus i Furulund,fragment,"1912, 1928-52",ARAB,"stadgar, verksamhetsberättelser",
Föreningen Folkets Park i Fägre u p a,fragment,1942,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Hus i Gamleby u p a,fragment,1907,ARAB,andelsbevis,ARAB FH och FP samling: övriga landet vol. 5
"Byggnadsföreningen Forshyddan, Granvåg, Sollefteå",fragment,1955,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Groppstorps SDUK´s Byggnadsförening u p a,fragment,1938,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Byggnadsföreningen Folkets Hus u p a i Gråsjön,fragment,1952,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Folketshusföreningen Gimåland u p a Grötingen,fragment,1929,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Hus i Gunnebo u p a,A. fragment B. okänt,A. 1916 B. okänt,A. ARAB B. I lokalen Folkets Hus i Gunnebo,"A. stadgar B. protokoll, räkenskaper, verksamhetsberättelser, ritningar","ARAB FH och FP samling: övriga landet vol. 5, FHP-enkät"
Föreningen Folkets Hus i Gårdstånga u p a,fragment,1921,ARAB,stadgar och andelsbevis,ARAB FH och FP samling: övriga landet vol. 5
Byggnadsföreningen Folkets Hus i Göta u p a [Älvängen],fragment,"1908-09, 1926,  1933,1954",ARAB,"stadgar, affischer, klipp",ARAB: Folkets Hus och Parker; övriga landet vol. 5 och 10 [samling]
Götene Folkets Hus Förening u p a,A. fragment B. okänt,A. 1943 B. okänt,A. ARAB B. I lokalen,"A. stadgar B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier",A. ARAB FH och FP samling: övriga landet vol. 5 B. FHP-enkät
Föreningen Folkets Hus i Habo u p a,fragment,1941,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Götlunda Folkets Husförening u p a,fragment,1936,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Hammerdals Folkets Hus Byggnadsförening,fragment,1938,ARAB,stadgar,ARAB FH och FP samling: övriga landet vol. 5
Riddarhyttans Folkets Hus och Park,,1906-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Abborrträsk Folkets husförening,,,I lokalen,,FHP-enkät
Ale Folkets husförening,,,A. I lokalen B. ARAB: Folkets husföreningar vol 2 [samling],A. protokoll verksamhetsberättelser,FHP-enkät
Askersund Folkets husförening,,,I lokalen,"protokoll, verksamhetsberättelser, affischer",FHP-enkät
Bagarmossens Folkets Hus,,1885-,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier",FHP-enkät
Bergeforsens Folkets Park,,1930-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, fotografier, affischer",FHP-enkät
Byggnadsföreningen Fram u p a (Björsäters Folkets Hus),,,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar,",
Föreningen Blomskogs Folkets Hus upa,,1950-1970,Folkrörelsearkivet i Forshaga,"protokoll, korrespondens, verksamhetsberättelser, ritningar",FHP-enkät
Övre Alnö Folkets Hus Förening,fragment,"1908, 1910-12",ARAB,"stadgar, affischer",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Byggnadsföreningen Folkets Hus  u p a Ödsmål,fragment,1949,ARAB,stadgar,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Byggnadsföreningen Folkets Hus i Överby,fragment,1932,ARAB,andelsbevis,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Föreningen Folkets Hus i Östra Husby socken u p a,fragment,"u å, 1934",ARAB,"stadgar, andelsbevis",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Öster-Tibble Byggnadsförening,fragment,1908,ARAB,stadgar,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Össeby-Garns Folkets husförening u p a,A. fragment  B.,A. 1938  B. 1936-,A. ARAB  B. Hemma hos sekreteraren samt  i Vallentuna FH,"A. stadgar  B. protokoll, ritningar",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling] B. FHP-enkät
Föreningen Åtvidabergs Folkpark i Åtvidaberg,fragment,spridda år 1908-1962,ARAB,"stadgar, program, historik mm",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Föreningen Folkets Hus i Ålem u p a,fragment,1905,ARAB,stadgar,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
[Åfors Folkets Hus],fragment,1956,ARAB,klipp,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Åby Folkets Husförening u p a,fragment,1934-1958,ARAB,"stadgar, verksamhetsberättelser, andelsbevis",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Ytterby Folkets Husförening u p a,A. fragment  B.  okänt,A. 1935   B. 1935-,A. ARAB   B. I lokalen,"A. stadgar  B. protokoll, verksamehtsberättelser, ritningar",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Västra Ryds Folkparksförening u p a,fragment,1932,ARAB,"stadgar, andelsbelsbevis",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Byggnadsföreningen Folkets Hus Västerlanda,fragment,"1919, 1933",ARAB,"stadgar, klipp",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Byggnadsföreningen Folkets Hus u p a Västanå-Korsåmon,fragment,1946,ARAB,stadgar,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
,,,,,
Byggnadsföreningen folkets Park i Vendelsö,fragment,"1918, 1920, 1931, 1938",ARAB,"stadgar, andelsbevis",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Vä byggnadsförening,fragment,1952,ARAB,klipp,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Byggnadsföreningen Folkets Hus u p a i Vårgårda,fragment,1943,ARAB,stadgar,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Byggnadsföreningen Nya Lycka [Vivstavarv],fragment,1909,ARAB,stadgar,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Vitaby Folkets Husförening u p a,fragment,1946,ARAB,stadgar,ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Byggnadsföreningen FOlkets Hus i Virserum,fragment,"u å 1930, 1952",ARAB,"stadgar, andelsbevis",ARAB: Folkets och Parker: övriga landet vol 10 [samling]
Vinterbacken byggnadsförening u p a,frfagment,1929,ARAB,stadgar,ARAB: Folkets och Parker: övriga landet vol 10 [samling]
"Viksmons byggnadsförening u p a i Viksmon, Graninge",fragment,1928,ARAB,"stadgar, andelsbevis",ARAB: Folkets och Parker: övriga landet vol 10 [samling]
Föreningen fOlkets Hus i Vimmerby,fragment,1944,ARAB,stadgar,ARAB: Folkets och Parker: övriga landet vol 10 [samling]
"Byggnadsföreningen Folkets Hus u p a I Viksjö, Säbrå socken",fragment,1951,ARAB,"stadgar, andelsbevis",ARAB: Folkets och Parker: övriga landet vol 10 [samling]
Vallåkra Arbetares Folketshusförening,fragment,1907,ARAB,"stadgar, andelsbevis",ARAB: Folkets och Parker: övriga landet vol 10 [samling]
AB Folkets Hus i Ulricehamn,A. fragment  B. okänt,A. 1948  B. okänt,A. ARAB  B. I lokalen,"A. årsberättelse  B. protokoll, korrespondens, räkenskaepr, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer","A. ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9 B. FHP-enkät"
Föreningen Folkets Hus i Uttersberg u p a,fragment,1910-11,ARAB,"stadgar, upprop","ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Föreningen Folkets Hus i Töreboda u p a,A. fragment  B. okänt,"A. 1925, 1931-32  B. okänt",A. ARAB B. I lokalen,"A. stadgar, upprop, andelsbevis B. protokoll, räkenskaper, verksamhetsbetättelser","A. ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9 B. FHP-enkät"
Tåsjö Samhällsförening u p a,fragment,1962,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Föreningen Folkets Park i Tyringe,fragment,1914,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Folkets Hus- och Folkets Parksföreningen Uddebo u p a,fragment,1938,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Folkets Husföreningen Tuntorp u p a,fragment,"1925, 1930, 1958-60",ARAB,"stadgar, historik, teaterprogram","ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Träkvista Folkets Husförening,fragment,u å,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Byggnadsföreningen Folkets Hus i Trollhättan,A. fragment  B. okänt,A. 1922-58  B. 1950-tal-,A. ARAB B. I lokalen Trollhättans Folkets Hus samt Trollhättans kommunarkiv,"A. stadgar, årsberätätelser, klipp, historik  m m B. räkenskaper, verksamhetsberättelser","ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9 B. FHP-enkät"
Byggnadsföreningen Folkets Hus u p a i Torpaslätt,fragment,1947,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Föreningen Folkets Hus u p a i Trekanten,fragment,1942,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Trolle Ljungby Folkets Husförening u p a,fragment,1908,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Folkets Husföreningen i Tranemo u p a,fragment,"u å, 1930-31, 1944",ARAB,"stadgar, biljetter, flygblad","ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9. Häri även Folkets Park"
Tofta Folkets Park,fragment,1908,ARAB,affischer,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Andelsföreningen Folkets Hus  Timmersdala  u p a,fragment,1934-35,ARAB,"stadgar, klipp, andelsbevis","ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Tibro Folkets Husförening,fragment,1938,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Söråkers Folkets Husförening,A. fragment  B. okänt,A. 1952-58 B. 1901-,A. ARAB B. I lokalen,"A. årsberättelser B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, fotografier, affischer","A. ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9 FHP-enkät"
,,,,,
,,,,,
"Byggnadsföreningen Liljebacken, Säters kommun, Frösve, u p a",fragment,1948,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Folkets Husföreningen i Surte,fragment,"1907-09, 1929",ARAB,revisionsberättelser,"ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Byggnadsföreningen Sunnemo Folkets Hus,A. fragment  B. okänt,A. 1907  B. 1952-,A. ARAB  B. I lokalen,"A. stadgar, andelsbevis, affischer B. protokoll, räkenskaper, verksamhetsberättelser, ritningar","ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Föreningen Folkets Hus u p a Strångamåla,frgment,1934-35,ARAB,"stadgar, andelsbevis","ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Föreningen Folkets Hus u p a Strömstad,fragment,1930,ARAB,stadgar,"ARAB: Folkets Hus och Parker: övriga landet vol. 9 [samling] fragment, stadgar för Folkets Hus 1930"
"Byggnadsföreningen Fridhem [Strandvik,  Olofsberg]",fragment,1908,ARAB,andelsbevis,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Sturkö Folkets Husförening,fragment,1922,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Byggnadsföreningen Folkets  Hus u p a Stenstorp,fragment,"1936, 1944",ARAB,"andelsbevis, upprop","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Stenkyrka Byggnadsförening u p a,fragment,1941,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
,,,,,
Stenestads Folkets Husförening u p a,fragment,1935,ARAB,"andelsbevis, stadgar","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Föreningen Sorunda Folkets Hus,fragment,1922,ARAB,affischer,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment gäller även Sorunda Folkets Park"
Byggnadsföreningen Labor  [Skövde Folkets Hus och Park],fragment,1928-1956,ARAB,"stadgar, verksamhetsberättelser m m","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment Jfr Skövde Folkets Husförening / Folkets Park"
Skromberga Arbetares Byggnadsförening u p a,A. fragment B. okänt,A. 1904-1954 B. 1898-,A. ARAB B. I lokalen och på FA Helsingborg,"A. stadgar, verksamhetsberättelser B. protokoll, räkenskaper, inventarieförteckningar, ritningar, fotografier","A. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment B. FHP-enkät"
Skrea Folkets Hus Byggnadsförening u p a,fragment,1928,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Byggnadsföreningen Solidaritet u p a Skorped,fragment,1914,ARAB,bidragslista,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Skagersviks Byggnadsförening Skagersvik u p a,fragment,1936,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Folkets Husföreningen Sjötofta U p a,fragment,1939,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Sjuntorps Folkpark,fragment,"1934, 1944-45, 1948",ARAB,"program, flygblad","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment riven, FHP-enkät"
Simeå Folkets Hus Byggnadsförening u p a,fragment,1924,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Föreningen Siknäs Medborgarhus,fragment,1947,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Sellnäs Folkets Hus,fragment,1919,ARAB,"affisch, inträdesbiljett","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Sandhems Byggnadsförening Sandhem,fragment,1924,ARAB,"stadgar, andelsbevis","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Föreningen Folkets Hus u p a i Rödeby,A. fragment  B. okänt,A.1924-1936  B. okänt,A. ARAB   B. I lokalen,"A. stadgar, årsberättelser, andelsbevis B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar,","A. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment B. FHP-enkät"
Föreningen Folkets Hus i Rockesholm u p a,fragment,1928,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Rö Arbetares Byggnadsförening u p a,A. fragment  B. okänt,A. 1937  B. okänt,A. ARAB  B. Härnösands näringslivsarkiv,"A. stadgar  B. protokoll, räkenskaper, verksamhetsberättelser","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment B. FHP-enkät"
Rävåla Arbetares Byggnadsförening u p a,fragment,1909,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Föreningen Folkets Hus i Ramvik,A. fragment  B. okänt,"A. 1922, 1950, 1959  B. okänt",A. ARAB  B. I lokalen,"A. affisch, klipp  B. protokoll, räkenskaper, verksamhetsberättelser, ritningar","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment FHP-enkät"
,,,,,
Påryds Parkförening,fragment,1932,ARAB,flygblad,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Ottarps Folkets Husförening u p a,fragment,1932,ARAB,årsberättelse,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Föreningen Folkets Hus och Park i Nybro u p a,fragment,"1907, 1915-16, 1957",ARAB,"stadgar, affischer, klipp","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Nybo Byggnadsförening u p a,fragment,1950,ARAB,stadgar,"ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Kohlsäters Folkets Husförening u p a,A. fragment  B. okänt,A. 1930 B. 1930-,A. ARAB  B. I lokalen,"A. stadgar  B. protokoll, räkenskpaer, verksamhetsberättelser, ritningar, affischer","ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Karlsviks Folkets Husförening,fragment,1908,ARAB,upprop,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Karlshäll Folkets husförening u p a,fragment,1929,ARAB,insamlingslista,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Föreningen Folkets Hus Kantorp,fragment,"1907, 1912,  1916, 1929",,,
Järpås Folkets husförening,fragment,1939,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Folkets Hus Byggnadsförening u p a Jämjö,A. fragment,A.1936,A. ARAB B. I lokalen,"A. insamlingslista B. protokoll, ritningar","A. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment B. FHP-enkät"
Juvansjöns Byggnadsförening u p a,fragment,1924,ARAB,insamlingslista,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Jungs Arbetares Byggnadsförening,fragment,1922,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Jonstorps Arbetares Byggnadsförening,fragment,1943,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Föreningen Folkets Hus i Johansfors,fragment,"1910-12, 1915-16",ARAB,affischer,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Håby Folkets Husförening,fragment,1935,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Föreningen Folkets Hus å Hönö,fragment,1950,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Föreningen Folkets Hus i Häggvall,fragment,1926,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Hunge Folkets husförening,A. fragment  B. okänt,"A. 1952--54, 1962-63 B. okänt",A. ARAB  B. I lokalen och på folkrörelsearkivet i Östersund,A. årsberättelser B. räkenskaper,"A. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment B. FHP-enkät"
Hultafors Folkets Hus Byggnadsförening,fragment,u å,ARAB,andelsbevis,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Föreningen Folkets Hus i Hornön och Veda u p a,fragment,1908,ARAB,"stadgar, andelsbevis","ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Föreningen FOlkets Hus u p a i Hofterup,fragment,1920,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
