författare,titel,ortförlag,utgivningsår,omfång,medförfattare,medarbetare,utgivare,serie,isbn,anmärkning,klassificering,placeringarab
"[Lodén, Albin]",Bergeforsens Folkets Park. Jubileum 11/7 1926-1936.,Sundsvall,1936,15 s.,,,,,,,Ohmb-cz Bergeforsen,Br/25187
,Bergeforsens Folkets Park 1926-1976 : 50 år.,Bergeforsen,1976,27 s. : ill.,,,,,,s. 2-19 faks. av : Bergeforsens folkets park : jubileum 1926 11/7 1936,Ohmb-cz Bergeforsen,Br67/1192
"Pettersson, Hubert",Borås Folkpark 50 år. En jubileumskavalkad i ord och bild. [1907-1957],Borås,1958,115 s.,,,,,,,Ohmb-cz Borås,28925 27558
,Minnesskrift 1912-1937 : Degerfors Folkets Park.,Degerfors,1937,19 s. : ill.,,,,,,,Ohmb-cz Degerfors,Br/27298
,Jubileumsskrift : Eksjö Folkets Park 25 år 1920-1945.,Eksjö,1945,40 s. : ill.,,,,,,,Ohmb-cz Eksjö,Br/27282
"Andersson, Eric",På båda sidor om ridån : Eric Andersson berättar / utg. : Eskilstuna kulturförvaltning.,Eskilstuna : Kulturförvaltningen,1974,150 s. : ill.,,Folkets Park (Eskilstuna) Eskilstuna Kulturförvaltningen,,,,,Ohmb-cz Eskilstuna,67/8862
,Festskrift för minnesanteckningar m.m. i anledning av Eskilstuna Folkets Parks 25-årsjubileum den 10 juni 1923 : 1898-1923,Eskilstuna,1923,16 s. : ill.,,,,,,,Ohmb-cz Eskilstuna,BrQ/158
"Jonsson, Conny",.... en festplats kallad Folkets Park.... En bokfilm om Eskilstuna Folkets park 1898-1948.,Eskilstuna,1948,109 s. : ill.,,,,,,,Ohmb-cz Eskilstuna,Q/026 Q/299
,Folkets Park Falköping 1930-1940.,Falköping,1940,16 s.,,,,,,,Ohmb-cz Falköping,Br/25160
,Folkets Park Falköping 1930-1955. Jubileumsskrift.,Falköping,1955,24 s.,,,,,,,Ohmb-cz Falköping,Br/25161
"Johansson, Arndt",Folkets Park i Falun genom ett halvt sekel. Historik till 50 års-jubiléet 1952. Utg. av Föreningen Folkets Hus i Falun U.P.A.,Falun,1952,94 s.,,,,,,,Ohmb-cz Falun,27529
,Huskvarna Folkets Park : program och minnesord.,Huskvarna,1945,27 s. : ill.,,,,,,,Ohmb-cz Huskvarna,Br/27304
,Huskvarna Folkets Park : 50 år 1925-1975.,Huskvarna,1975,23 s. : ill.,,,,,,,Ohmb-cz Huskvarna,Br67/1032
"Selge, Allan",Folkets Park i Hälsingborg under 40 år 1895-1935 : en översikt / utarb. av Allan Selge.,Hälsingborg,1935,55 s. : ill.,,,,,,,Ohmb-cz Hälsingborg,Br/27297
"Selge, Allan",Från Fältarp till Folkparken : Hälsingborgs Folkets Park under ett halvt sekel : en kort krönika över tiden 1895-1945 / utarb. av Allan Selge.,Hälsingborg,1945,40 s. : ill.,,,,,,,Ohmb-cz Hälsingborg,Br/27301
,Höganäs Folkets Park 17 maj 1908-1938.,Höganäs,1938,15 s. : ill.,,,,,,,Ohmb-cz Höganäs,Br/27286
,Folkparken i Höganäs : en skrift om det gångna halvseklet och en blick framåt : 50 år 1908-1958.,Helsingborg : Demokraten,1958,20 s. : ill.,,,,,,,Ohmb-cz Höganäs,Br/27287
"Nilsson, Walfred",Folkets Park 16/9 1900-1925 : minnesblad utgiven med anledning av 25-årsjubileet / Walfred Nilsson : Föreningen Folkets Hus i Kalmar u p a.,Kalmar,1925,20 s. : ill.,,,,,,,Ohmb-cz Kalmar,BrQ/050 BrQ/132
"Ericson, Elof",Minnesskrift : Folkets Park Karlskoga 1918-1943.,Karlskoga,1943,44 s. : ill.,,,,,,,Ohmb-cz Karlskoga,Br/27273
"Andersson, Gösta",Kristinehamns Folkpark 1916-1941 : några anteckningar till parkens historia / av Gösta Andersson och Linus Brodin.,Kristinehamn,1941,27 s. : ill.,"Brodin, Linus",,,,,,Ohmb-cz Kristinehamn,Br/27284
"Sten, Albin",Minnesskrift : Folkets Park Lidköping 1910-1930 / Albin Sten.,Lidköping,1930,17 s. : ill.,,,,,,,Ohmb-cz Lidköping,Br/27307
,Sverges första Folkets Park. Några anteckningar om huru Folkets Park i Malmö tillkommit och utvecklats. Med anledning av att 25 år förflutit sedan parken förvärvades av Malmö socialdemokratiska förening.,Tryckeri AB Framtiden Malmö,1918,14 s. ill.,,,,,,,Ohmb-cz Malmö,Br/25259
"Lundgren, A.",Fyra decennier. Festskrift tillägnad Malmö Folkets Park under dess fyrtionde säsong. Utgiven av styrelsen för aktiebolaget Malmö Folkets Park. Red. av A. Lundgren.,Malmö,1930,35 s.,,,,,,,Ohmb-cz Malmö,"Q/025, Q/1194 Br 67/5498"
"Dahlberg, Ivar",Malmö Folkets Park [Artikel],,1945,,,,,,,"Artikel i Studiekamraten nr. 11-12, 1945",Ohmb-cz Malmö,
,Folkets Park i Motala 1903-1943.,Motala,1943,29 s. : ill.,,,,,,,Ohmb-cz Motala,BrQ/062
"Brodin, Linus",Föreningen Folkets Hus Kristinehamn 35 år / upptecknat av Linus Brodin.,Kristinehamn,1941,20 s. : ill.,,,,,,,Ohmb-cz Kristinehamn,Br/27283
,Festskrift utgiven i anledning av Norrköpings Folkets Parks tjugofemåriga verksamhet.,Norrköping,1926,15 s. : ill.,,,,,,,Ohmb-cz Norrköping,Br/27268
"Hertz, Nils A.",Festskrift med anledning av Folkets Parks i Norrköping 40-åriga verksamhet 1901-1941,Norrköping,1941,36 s. : ill.,,,,,,,Ohmb-cz Norrköping,Br/27289
,70 år för nöjes skull. 1901-1971. Norrköping Folkets Park.,Norrköping,1971,19 s.,,Folkets Park (Norrköping),,,,,Ohmb-cz Norrköping,Br67/785
,Folkets Park Nässjö 50 år.,Jönköping,1957,44 s. : ill.,,,,,,,Ohmb-cz Nässjö,Br/25352
"Johansson, Torsten",Oskarshamns Folkets Park 1907-1957 : / en folkpark jubilerar,Oskarshamn,1957,41 s. : ill.,,,,,,,Ohmb-cz Oskarshamn,Br/27431
"Björk, Carl",Sandvikens Folkets Park 50 år. 1903-1953.,Gävle,1953,59 s.,,,,,,,Ohmb-cz Sandviken,28781
,Skövde Folkparks 20-årsjubileum 1925-1945. Ridån går upp [omslagstitel],[Skövde],1945,24 s. : ill.,,,,,,Omslagstitel: Ridån går upp ...,Ohmb-cz Skövde,Br67/1195
,Surahammars Folkets Park 25 år. [1920-1945],Västerås,1945,20 s.,,,,,,,Ohmb-cz Surahammar,Br/25002
"Andersson, Birger",Jubileumsskrift 1917-1942 : Folkets Park Tidaholm.,Tidaholm,1942,24 s. : ill.,,,,,,,Ohmb-cz Tidaholm,BrQ/061
"Moulaison, Georges",Uddevalla Folkets Park. 1908-1968. Jubileumsskrift.,Uddevalla,1968,62 s.,,,,,,,Ohmb-cz Uddevalla,67/1623
"Thomasson, Sigurd",Ystads Folkets Park 1896-1946 / Surbrunn -  Glädjekälla [omslagstitel],Ystad,1946,45 s.,,,Ystads arbetarekommun,,,"Omslagstitel: Surbrunn, glädjekälla. Ystads Folkets park 1896-1946.",Ohmb-cz Ystad,Br67/258
